	Clone size	RGC	dAC	AC	BC	MC	HC	PRs	Unknown	Position
32h clone-101	6	1	0	1	0	0	2	2	0	Temporal
32h clone-102	6	2	1	0	0	0	1	2	0	Temporal
32h clone-103	6	2	0	0	0	0	0	4	0	Temporal
32h clone-104	6	0	0	2	4	0	0	0	0	Temporal
32h clone-105	6	1	0	0	5	0	0	0	0	Temporal
32h clone-106	6	2	0	0	0	0	2	2	0	Temporal
32h clone-107	6	1	1	2	1	1	0	0	0	Temporal
32h clone-108	6	1	0	1	0	0	0	4	0	Temporal
32h clone-109	6	0	0	2	0	0	0	4	0	Temporal
32h clone-110	6	1	0	0	0	0	3	2	0	Temporal
32h clone-111	6	0	1	1	0	0	0	4	0	Temporal
32h clone-112	6	0	0	0	0	0	2	4	0	Temporal
32h clone-113	6	0	0	2	0	0	0	4	0	Temporal
32h clone-114	6	0	0	1	5	0	0	0	0	Temporal
32h clone-115	7	1	0	0	0	0	2	4	0	Nasal
32h clone-116	7	1	1	1	4	0	0	0	0	Nasal
32h clone-117	7	1	0	0	0	0	2	4	0	Temporal
32h clone-118	7	2	1	1	0	0	2	1	0	Temporal
32h clone-119	7	1	0	1	5	0	0	0	0	Temporal
32h clone-120	7	1	0	1	5	0	0	0	0	Temporal
32h clone-121	7	0	0	2	5	0	0	0	0	Temporal
32h clone-122	7	1	0	0	3	0	1	2	0	Temporal
32h clone-123	7	1	1	1	0	0	0	4	0	Temporal
32h clone-124	7	1	0	0	0	0	0	2	4	Temporal
32h clone-125	7	1	0	1	5	0	0	0	0	Temporal
32h clone-126	8	2	0	3	1	0	0	2	0	Nasal
32h clone-127	8	0	0	2	6	0	0	0	0	Temporal
32h clone-128	8	1	0	3	4	0	0	0	0	Temporal
32h clone-129	8	2	0	1	0	0	1	4	0	Temporal
32h clone-130	8	0	0	2	6	0	0	0	0	Temporal
32h clone-131	8	1	0	0	0	0	2	6	0	Temporal
32h clone-132	8	0	0	2	4	1	0	1	0	Temporal
32h clone-133	9	1	1	1	0	0	2	4	0	Temporal
32h clone-134	9	3	1	1	4	0	0	0	0	Temporal
32h clone-135	9	1	0	2	4	0	0	2	0	Temporal
32h clone-136	9	1	0	1	0	0	3	4	0	Temporal
32h clone-137	9	1	1	1	0	0	2	4	0	Temporal
32h clone-138	9	1	0	1	6	0	0	0	0	Temporal
32h clone-139	9	1	0	0	3	1	0	4	0	Temporal
32h clone-140	9	2	0	2	4	1	0	0	0	Temporal
32h clone-141	10	0	0	3	4	0	0	3	0	Temporal
32h clone-142	10	1	0	3	5	0	0	1	0	Temporal
32h clone-143	10	2	0	0	0	0	4	4	0	Temporal
32h clone-144	10	1	1	3	4	0	0	1	0	Temporal
32h clone-145	10	0	0	4	4	0	0	2	0	Temporal
32h clone-146	11	1	0	3	6	0	0	1	0	Nasal
32h clone-147	11	4	0	1	0	0	0	6	0	Temporal
32h clone-148	11	2	1	3	1	0	0	4	0	Temporal
32h clone-149	11	3	2	1	0	1	0	0	4	Temporal
32h clone-150	11	0	1	3	2	1	0	4	1	Temporal
32h clone-151	11	0	0	3	6	0	0	2	0	Temporal
32h clone-152	11	1	0	0	0	0	2	8	0	Temporal
32h clone-153	12	1	1	0	6	0	0	4	0	Temporal
32h clone-154	12	1	0	0	0	0	6	5	0	Temporal
32h clone-155	13	1	1	1	0	0	4	0	6	Temporal
32h clone-156	14	1	0	3	8	0	0	2	0	Temporal
32h clone-157	14	0	0	4	4	0	2	4	0	Temporal
32h clone-158	14	1	0	3	3	1	2	4	0	Temporal
32h clone-159	14	0	3	1	0	4	0	6	0	Temporal
32h clone-160	14	0	0	6	2	1	0	5	0	Temporal
32h clone-161	14	1	1	2	4	1	0	4	1	Temporal
32h clone-162	15	1	1	5	4	0	0	4	0	Temporal
32h clone-163	15	1	1	1	6	0	0	6	0	Temporal
32h clone-164	15	1	2	3	6	1	0	2	0	Temporal
32h clone-165	15	0	1	6	4	1	0	3	0	Temporal
32h clone-166	15	1	0	5	4	0	0	8	2	Temporal
32h clone-167	16	2	0	2	4	0	0	8	0	Temporal
32h clone-168	20	1	1	3	1	0	4	10	0	Temporal
32h clone-169	24	3	1	3	5	0	4	8	0	Temporal
										
48h clone-1	1	1	0	0	0	0	0	0	0	Nasal
48h clone-2	1	0	0	1	0	0	0	0	0	Nasal
48h clone-3	1	0	0	0	0	1	0	0	0	Nasal
48h clone-4	1	0	0	0	1	0	0	0	0	Nasal
48h clone-5	1	0	1	0	0	0	0	0	0	Nasal
48h clone-6	1	0	0	0	1	0	0	0	0	Nasal
48h clone-7	1	0	0	0	0	0	1	0	0	Nasal
48h clone-8	1	0	0	0	1	0	0	0	0	Nasal
48h clone-9	1	0	0	0	1	0	0	0	0	Nasal
48h clone-10	1	0	0	0	0	0	0	1	0	Nasal
48h clone-11	1	1	0	0	0	0	0	0	0	Nasal
48h clone-12	1	0	0	0	1	0	0	0	0	Nasal
48h clone-13	1	0	0	0	0	1	0	0	0	Nasal
48h clone-14	1	1	0	0	0	0	0	0	0	Nasal
48h clone-15	1	0	0	1	0	0	0	0	0	Nasal
48h clone-16	1	0	0	0	1	0	0	0	0	Nasal
48h clone-17	1	0	0	0	0	0	0	1	0	Nasal
48h clone-18	1	0	0	1	0	0	0	0	0	Nasal
48h clone-19	1	0	0	0	1	0	0	0	0	Nasal
48h clone-20	1	0	0	0	1	0	0	0	0	Nasal
48h clone-21	1	0	0	0	1	0	0	0	0	Nasal
48h clone-22	1	0	0	0	1	0	0	0	0	Nasal
48h clone-23	2	0	0	0	2	0	0	0	0	Nasal
48h clone-24	2	0	1	1	0	0	0	0	0	Nasal
48h clone-25	2	0	0	0	0	0	0	2	0	Nasal
48h clone-26	2	0	0	0	1	1	0	0	0	Nasal
48h clone-27	2	0	0	0	0	0	0	2	0	Nasal
48h clone-28	2	0	0	0	0	0	2	0	0	Nasal
48h clone-29	2	0	0	0	0	0	0	2	0	Nasal
48h clone-30	2	0	0	0	0	0	0	2	0	Nasal
48h clone-31	2	0	0	1	0	0	0	1	0	Nasal
48h clone-32	2	0	0	0	0	0	2	0	0	Nasal
48h clone-33	2	0	0	0	0	0	0	2	0	Nasal
